,éûçè,èoóàçÇ,ñÒíËíl
18141,10:00:35,3600.0,1500.0
18142,10:00:34,100.0,1499.0
18143,10:00:34,100.0,1498.0
18144,10:00:34,100.0,1498.0
18145,10:00:32,400.0,1499.0
18146,10:00:32,300.0,1499.0
18147,10:00:32,300.0,1498.0
18148,10:00:32,300.0,1497.0
18149,10:00:31,800.0,1497.0
18150,10:00:31,500.0,1497.0
18151,10:00:29,2000.0,1497.0
18152,10:00:28,100.0,1498.0
18153,10:00:28,100.0,1498.0
18154,10:00:28,100.0,1498.0
18155,10:00:28,100.0,1498.0
18156,10:00:27,200.0,1498.0
18157,10:00:26,100.0,1498.0
18158,10:00:26,400.0,1498.0
18159,10:00:26,100.0,1498.0
18160,10:00:26,200.0,1497.0
18161,10:00:24,100.0,1497.0
18162,10:00:24,100.0,1496.0
18163,10:00:22,100.0,1497.0
18164,10:00:22,100.0,1496.0
18165,10:00:22,300.0,1497.0
18166,10:00:22,100.0,1497.0
18167,10:00:18,200.0,1496.0
18168,10:00:16,400.0,1497.0
18169,10:00:16,200.0,1497.0
18170,10:00:16,100.0,1497.0
18171,10:00:16,100.0,1497.0
18172,10:00:16,100.0,1497.0
18173,10:00:16,400.0,1497.0
18174,10:00:16,100.0,1497.0
18175,10:00:16,500.0,1497.0
18176,10:00:16,100.0,1496.0
18177,10:00:16,100.0,1496.0
18178,10:00:16,100.0,1496.0
18179,10:00:14,100.0,1498.0
18180,10:00:14,300.0,1498.0
18181,10:00:14,100.0,1497.0
18182,10:00:13,100.0,1499.0
18183,10:00:13,200.0,1498.0
18184,10:00:13,800.0,1497.0
18185,10:00:13,300.0,1497.0
18186,10:00:13,100.0,1498.0
18187,10:00:13,100.0,1498.0
18188,10:00:13,100.0,1498.0
18189,10:00:13,500.0,1499.0
18190,10:00:13,6900.0,1500.0
18191,10:00:13,100.0,1500.0
18192,10:00:13,800.0,1501.0
18193,10:00:13,2300.0,1501.0
18194,10:00:13,200.0,1501.0
18195,10:00:13,800.0,1502.0
18196,10:00:10,100.0,1502.0
18197,10:00:10,200.0,1502.0
18198,10:00:10,100.0,1504.0
18199,10:00:10,100.0,1503.0
18200,10:00:09,100.0,1502.0
18201,10:00:09,500.0,1504.0
18202,10:00:08,100.0,1502.0
18203,10:00:08,200.0,1503.0
18204,10:00:08,100.0,1502.0
18205,10:00:08,100.0,1502.0
18206,10:00:07,300.0,1501.0
18207,10:00:07,100.0,1502.0
18208,10:00:07,500.0,1501.0
18209,10:00:06,100.0,1501.0
18210,10:00:06,200.0,1501.0
18211,10:00:05,200.0,1502.0
18212,10:00:05,100.0,1501.0
18213,10:00:05,400.0,1501.0
18214,10:00:05,100.0,1500.0
18215,10:00:05,100.0,1500.0
18216,10:00:05,100.0,1500.0
18217,10:00:05,100.0,1500.0
18218,10:00:04,100.0,1501.0
18219,10:00:04,100.0,1500.0
18220,10:00:04,100.0,1501.0
18221,10:00:04,200.0,1502.0
18222,10:00:04,100.0,1502.0
18223,10:00:04,400.0,1504.0
18224,10:00:04,400.0,1503.0
18225,10:00:03,100.0,1503.0
18226,10:00:03,100.0,1502.0
18227,10:00:03,100.0,1502.0
18228,10:00:03,100.0,1503.0
18229,10:00:03,100.0,1501.0
18230,10:00:03,100.0,1501.0
18231,10:00:03,1300.0,1502.0
18232,10:00:03,100.0,1502.0
18233,10:00:03,2000.0,1501.0
18234,10:00:03,2900.0,1500.0
18235,10:00:03,100.0,1498.0
18236,10:00:03,100.0,1499.0
18237,10:00:03,100.0,1499.0
18238,10:00:03,100.0,1498.0
18239,10:00:03,100.0,1498.0
18240,10:00:03,500.0,1499.0
18241,10:00:03,200.0,1498.0
18242,10:00:03,100.0,1497.0
18243,10:00:02,200.0,1498.0
18244,10:00:02,100.0,1498.0
18245,10:00:02,100.0,1498.0
18246,10:00:02,200.0,1498.0
18247,10:00:01,100.0,1497.0
18248,10:00:01,200.0,1497.0
18249,10:00:01,2400.0,1497.0
18250,10:00:01,500.0,1496.0
18251,10:00:00,700.0,1495.0
18252,10:00:00,100.0,1495.0
18253,10:00:00,200.0,1495.0
18254,10:00:00,100.0,1495.0
18255,10:00:00,2300.0,1494.0
18256,10:00:00,100.0,1493.0
18257,09:59:59,400.0,1492.0
18258,09:59:58,100.0,1492.0
18259,09:59:57,300.0,1492.0
18260,09:59:55,200.0,1493.0
18261,09:59:55,200.0,1493.0
18262,09:59:55,200.0,1492.0
18263,09:59:55,400.0,1492.0
18264,09:59:55,100.0,1492.0
18265,09:59:55,600.0,1491.0
18266,09:59:55,100.0,1491.0
18267,09:59:54,200.0,1490.0
18268,09:59:54,600.0,1490.0
18269,09:59:54,200.0,1490.0
18270,09:59:54,100.0,1490.0
18271,09:59:52,200.0,1490.0
18272,09:59:52,100.0,1489.0
18273,09:59:51,100.0,1490.0
18274,09:59:51,100.0,1490.0
18275,09:59:50,900.0,1490.0
18276,09:59:50,200.0,1490.0
18277,09:59:50,400.0,1490.0
18278,09:59:49,200.0,1490.0
18279,09:59:48,100.0,1491.0
18280,09:59:48,100.0,1490.0
18281,09:59:47,100.0,1490.0
18282,09:59:47,100.0,1490.0
18283,09:59:47,100.0,1491.0
18284,09:59:46,500.0,1491.0
18285,09:59:46,100.0,1490.0
18286,09:59:46,100.0,1489.0
18287,09:59:46,200.0,1490.0
18288,09:59:46,200.0,1488.0
18289,09:59:46,600.0,1489.0
18290,09:59:46,100.0,1490.0
18291,09:59:45,400.0,1491.0
18292,09:59:45,100.0,1491.0
18293,09:59:45,100.0,1489.0
18294,09:59:45,500.0,1490.0
18295,09:59:45,300.0,1489.0
18296,09:59:45,300.0,1490.0
18297,09:59:45,100.0,1489.0
18298,09:59:45,500.0,1490.0
18299,09:59:45,500.0,1490.0
18300,09:59:42,100.0,1491.0
18301,09:59:42,100.0,1491.0
18302,09:59:41,700.0,1491.0
18303,09:59:41,1000.0,1491.0
18304,09:59:41,100.0,1491.0
18305,09:59:40,100.0,1492.0
18306,09:59:40,100.0,1492.0
18307,09:59:40,100.0,1492.0
18308,09:59:40,100.0,1493.0
18309,09:59:39,400.0,1492.0
18310,09:59:39,100.0,1491.0
18311,09:59:39,100.0,1490.0
18312,09:59:38,100.0,1492.0
18313,09:59:38,100.0,1491.0
18314,09:59:38,100.0,1491.0
18315,09:59:37,100.0,1490.0
18316,09:59:37,100.0,1490.0
18317,09:59:37,100.0,1489.0
18318,09:59:37,100.0,1490.0
18319,09:59:37,100.0,1490.0
18320,09:59:36,100.0,1490.0
18321,09:59:36,200.0,1490.0
18322,09:59:36,100.0,1489.0
18323,09:59:36,200.0,1488.0
18324,09:59:36,100.0,1490.0
18325,09:59:36,1600.0,1488.0
18326,09:59:36,200.0,1489.0
18327,09:59:36,1400.0,1488.0
18328,09:59:36,1000.0,1489.0
18329,09:59:36,2300.0,1490.0
18330,09:59:36,300.0,1491.0
18331,09:59:36,100.0,1491.0
18332,09:59:36,100.0,1492.0
18333,09:59:36,800.0,1490.0
18334,09:59:36,1800.0,1491.0
18335,09:59:36,700.0,1492.0
18336,09:59:36,600.0,1493.0
18337,09:59:36,100.0,1494.0
18338,09:59:35,100.0,1494.0
